seed;best_fitness;worst_fitness;average_fitness;median_fitness;std_dev_fitness
1;0.2041666666666666;0.2041666666666666;0.2041666666666666;0.2041666666666666;0
2;0.1791666666666666;0.1791666666666666;0.1791666666666666;0.1791666666666666;0
3;0.1883333333333333;0.1883333333333333;0.1883333333333333;0.1883333333333333;0
4;0.1758333333333333;0.1758333333333333;0.1758333333333333;0.1758333333333333;0
5;0.1841666666666666;0.1841666666666666;0.1841666666666667;0.1841666666666666;0
6;0.185;0.185;0.185;0.185;0
7;0.1966666666666666;0.1966666666666666;0.1966666666666666;0.1966666666666666;0
8;0.1766666666666666;0.1766666666666666;0.1766666666666666;0.1766666666666666;0
9;0.1683333333333333;0.1683333333333333;0.1683333333333333;0.1683333333333333;0
10;0.1891666666666666;0.1891666666666666;0.1891666666666666;0.1891666666666666;0
11;0.1775;0.1775;0.1775;0.1775;0
12;0.2041666666666666;0.2041666666666666;0.2041666666666666;0.2041666666666666;0
13;0.175;0.175;0.175;0.175;0
14;0.1691666666666666;0.1691666666666666;0.1691666666666666;0.1691666666666666;0
15;0.1666666666666666;0.1666666666666666;0.1666666666666666;0.1666666666666666;0
16;0.1916666666666666;0.1916666666666666;0.1916666666666666;0.1916666666666666;0
17;0.1933333333333333;0.1933333333333333;0.1933333333333333;0.1933333333333333;0
18;0.1841666666666666;0.1841666666666666;0.1841666666666667;0.1841666666666666;0
19;0.1816666666666666;0.1816666666666666;0.1816666666666666;0.1816666666666666;0
20;0.1683333333333333;0.1683333333333333;0.1683333333333333;0.1683333333333333;0
21;0.1825;0.1825;0.1824999999999999;0.1825;0
22;0.1833333333333333;0.1833333333333333;0.1833333333333333;0.1833333333333333;0
23;0.195;0.195;0.195;0.195;0
24;0.1875;0.1875;0.1875;0.1875;0
25;0.2058333333333333;0.2058333333333333;0.2058333333333333;0.2058333333333333;0
26;0.1891666666666666;0.1891666666666666;0.1891666666666666;0.1891666666666666;0
27;0.175;0.175;0.175;0.175;0
28;0.2091666666666666;0.2091666666666666;0.2091666666666667;0.2091666666666666;0
29;0.1866666666666666;0.1866666666666666;0.1866666666666666;0.1866666666666666;0
30;0.18;0.18;0.18;0.18;0
31;0.2025;0.2025;0.2025;0.2025;0
