seed;best_fitness;worst_fitness;average_fitness;median_fitness;std_dev_fitness
1;0.44416666666666665;0.5483333333333333;0.49077683615819206;0.4891666666666667;0.019348
2;0.43916666666666665;0.54;0.49074858757062145;0.48833333333333334;0.02118
3;0.455;0.5358333333333334;0.49187853107344615;0.49166666666666664;0.019029
4;0.42333333333333334;0.5383333333333333;0.4796468926553673;0.48;0.020723
5;0.44;0.5683333333333334;0.49004237288135594;0.48833333333333334;0.023548
6;0.4275;0.5408333333333334;0.49067796610169495;0.4925;0.021811
7;0.4475;0.5616666666666666;0.4968644067796611;0.49333333333333335;0.02544
8;0.42833333333333334;0.5491666666666667;0.47822033898305083;0.48;0.023466
9;0.46;0.56;0.5028954802259887;0.5;0.019669
10;0.44083333333333335;0.54;0.4938841807909605;0.49166666666666664;0.021671
11;0.455;0.5516666666666666;0.5038418079096045;0.5016666666666667;0.022203
12;0.445;0.5475;0.4884322033898305;0.4875;0.022992
13;0.43166666666666664;0.5383333333333333;0.49163841807909603;0.495;0.024837
14;0.4375;0.555;0.49230225988700554;0.49166666666666664;0.024888
15;0.4225;0.5225;0.4771892655367231;0.48083333333333333;0.025022
16;0.4241666666666667;0.5183333333333333;0.48632768361581913;0.4891666666666667;0.021581
17;0.4083333333333333;0.5558333333333333;0.4936158192090395;0.4925;0.027542
18;0.43333333333333335;0.5425;0.481271186440678;0.48;0.023023
19;0.4475;0.5375;0.4925282485875706;0.4925;0.020151
20;0.45916666666666667;0.5633333333333334;0.5013983050847459;0.5008333333333334;0.022838
21;0.4375;0.5391666666666667;0.4895056497175141;0.49;0.02165
22;0.45666666666666667;0.5425;0.4967937853107344;0.49833333333333335;0.02116
23;0.44166666666666665;0.5408333333333334;0.4937005649717513;0.49583333333333335;0.021362
24;0.43666666666666665;0.5491666666666667;0.4867937853107344;0.4891666666666667;0.020206
25;0.46416666666666667;0.5775;0.5085028248587572;0.5091666666666667;0.020111
26;0.4266666666666667;0.5416666666666666;0.4900988700564973;0.49;0.023865
27;0.4583333333333333;0.5341666666666667;0.49093220338983046;0.49083333333333334;0.018706
28;0.4425;0.5383333333333333;0.48415254237288136;0.48333333333333334;0.020361
29;0.45666666666666667;0.55;0.49313559322033884;0.49333333333333335;0.019734
30;0.46;0.5291666666666667;0.49370056497175124;0.49083333333333334;0.019025
31;0.415;0.5233333333333333;0.4780084745762712;0.47833333333333333;0.023113
